game_name,link,genres,release_year,number_of_reviews_from_purchased_people,game_avg_hrs_played,overall_player_rating,game_id
Valheim,https://store.steampowered.com/app/892970/Valheim?snr=1_category_4_action_100727,open_world_survival_craft survival online_co-op open_world multiplayer building crafting exploration base_building co-op difficult adventure mythology action sandbox pve early_access singleplayer third_person indie,2021,397845.0,286.35543130990413,Very Positive,208
Tomb Raider,https://store.steampowered.com/app/203160/Tomb_Raider?snr=1_category_4_action_100727,adventure action female_protagonist third_person singleplayer story_rich third-person_shooter multiplayer exploration action-adventure quick-time_events atmospheric shooter puzzle stealth cinematic platformer rpg reboot 3d_vision,2013,146141.0,41.6997995991984,Overwhelmingly Positive,190
Two Point Campus,https://store.steampowered.com/app/1649080/Two_Point_Campus?snr=1_category_4_simulation_salebrowseall,management simulation strategy building city_builder casual sandbox funny cartoony isometric comedy singleplayer family_friendly indie economy tactical replay_value retro education cute,2022,3661.0,75.69025844930418,Very Positive,201
Riders Republic,https://store.steampowered.com/app/2290180/Riders_Republic?snr=1_category_4_sportsandracing_salebrowseall,racing open_world massively_multiplayer sports multiplayer pvp bikes snowboarding third_person skiing cycling bmx first-person online_co-op co-op singleplayer colorful skateboarding,2023,14718.0,26.57902697252332,Very Positive,146
Age of Empires IV: Anniversary Edition,https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition?snr=1_category_4_strategy_100726,strategy rts base_building war multiplayer singleplayer medieval resource_management city_builder historical action_rts pvp pve co-op 3d isometric management open_world online_co-op mature,2021,53466.0,242.15743148629727,Very Positive,6
MARVEL SNAP,https://store.steampowered.com/app/1997040/MARVEL_SNAP?snr=1_category_4_strategy_100726,free_to_play card_battler strategy card_game multiplayer turn-based_tactics pvp casual superhero deckbuilding comic_book stylized trading_card_game early_access co-op mouse_only,2023,27412.0,233.4563785186664,Very Positive,104
STAR WARS™ Empire at War - Gold Pack,https://store.steampowered.com/app/32470/STAR_WARS_Empire_at_War__Gold_Pack?snr=1_category_4_strategy_100727,strategy rts space sci-fi multiplayer singleplayer moddable mod tactical war action classic great_soundtrack grand_strategy simulation 4x co-op adventure atmospheric epic,2006,31032.0,366.0543022559393,Overwhelmingly Positive,152
Satisfactory,https://store.steampowered.com/app/526870/Satisfactory?snr=1_category_4_adventure_salebrowseall,base_building automation open_world multiplayer crafting co-op resource_management building sandbox exploration adventure open_world_survival_craft simulation survival first-person early_access strategy sci-fi singleplayer indie,2024,154636.0,338.3011854530842,Overwhelmingly Positive,154
Descenders,https://store.steampowered.com/app/681280/Descenders?snr=1_category_4_sportsandracing_100726,sports racing cycling action bikes multiplayer great_soundtrack procedural_generation roguelite open_world bmx fast-paced simulation physics moddable addictive difficult relaxing beautiful competitive,2019,14146.0,72.55966420147911,Overwhelmingly Positive,43
Teardown,https://store.steampowered.com/app/1167630/Teardown?snr=1_category_4_simulation_100727,destruction physics sandbox voxel first-person singleplayer heist open_world realistic 3d simulation action puzzle driving indie immersive_sim tactical replay_value puzzle_platformer runner,2022,89873.0,127.82395209580838,Overwhelmingly Positive,180
Among Us,https://store.steampowered.com/app/945360/Among_Us?snr=1_category_4_action_100727,multiplayer online_co-op social_deduction space survival 2d funny psychological co-op party_game cartoony local_multiplayer casual action pvp sci-fi minigames top-down aliens colorful,2018,606700.0,126.11808191808193,Very Positive,13
Dragon's Dogma 2,https://store.steampowered.com/app/2054970/Dragons_Dogma_2?snr=1_category_4_adventure_salebrowseall,open_world rpg action_rpg action fantasy adventure singleplayer dragons action-adventure magic medieval swordplay character_customization physics third_person artificial_intelligence lore-rich multiplayer 3d pve,2024,64168.0,69.585,Mixed,49
Cities: Skylines II,https://store.steampowered.com/app/949230/Cities_Skylines_II?snr=1_category_4_simulation_salebrowseall,simulation city_builder building singleplayer sandbox management economy strategy realistic moddable resource_management relaxing transportation casual multiplayer atmospheric early_access open_world great_soundtrack mod,2023,42905.0,101.20323417847874,Mixed,30
Fishing Planet,https://store.steampowered.com/app/380600/Fishing_Planet?snr=1_category_4_sportsandracing_salebrowseall,fishing free_to_play multiplayer simulation sports relaxing realistic massively_multiplayer co-op first-person open_world singleplayer online_co-op family_friendly adventure casual mmorpg action fps farming_sim,2015,59354.0,259.0556886227545,Very Positive,70
House Flipper,https://store.steampowered.com/app/613100/House_Flipper?snr=1_category_4_simulation_100727,simulation design_&_illustration building singleplayer relaxing sandbox casual immersive_sim education management first-person economy family_friendly base_building replay_value 3d realistic multiplayer indie moddable,2018,78509.0,138.41809828206152,Very Positive,90
Slime Rancher,https://store.steampowered.com/app/433340/Slime_Rancher?snr=1_category_4_simulation_100727,cute exploration adventure singleplayer open_world first-person colorful funny sandbox simulation casual management fantasy family_friendly indie great_soundtrack female_protagonist action early_access fps,2017,110588.0,71.89078156312625,Overwhelmingly Positive,165
DAVE THE DIVER,https://store.steampowered.com/app/1868140/DAVE_THE_DIVER?snr=1_category_4_rpg_100727,pixel_graphics casual management adventure relaxing rpg fishing exploration simulation underwater singleplayer farming_sim 2d crafting story_rich roguelite funny agriculture action indie,2023,102517.0,45.19380156973234,Overwhelmingly Positive,36
Age of Empires II: Definitive Edition,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition?snr=1_category_4_strategy_100726,strategy rts city_builder multiplayer base_building historical singleplayer medieval resource_management classic tactical real-time co-op remake isometric 2d replay_value action great_soundtrack adventure,2019,131277.0,511.03360672134426,Very Positive,5
Dying Light,https://store.steampowered.com/app/239140/Dying_Light?snr=1_category_4_action_100727,zombies survival_horror horror online_co-op open_world parkour first-person survival open_world_survival_craft gore fps action pve stealth pvp post-apocalyptic story_rich multiplayer hack_and_slash action_rpg,2015,315018.0,169.43876123876123,Overwhelmingly Positive,52
iRacing,https://store.steampowered.com/app/266410/iRacing?snr=1_category_4_sportsandracing_salebrowseall,racing automobile_sim simulation vr sports driving massively_multiplayer multiplayer realistic singleplayer controller esports first-person action,2015,2707.0,247.7520184544406,Very Positive,224
Chained Together,https://store.steampowered.com/app/2567870/Chained_Together?snr=1_category_4_adventure_100726,co-op adventure casual platformer simulation puzzle_platformer action-adventure 3d_platformer third_person exploration funny online_co-op mystery post-apocalyptic emotional multiplayer physics surreal choices_matter controller,2024,27401.0,8.259782170229931,Very Positive,29
Crime Scene Cleaner,https://store.steampowered.com/app/1040200/Crime_Scene_Cleaner?snr=1_category_4_adventure_100726,crime simulation gore singleplayer first-person mature action adventure atmospheric funny realistic exploration stealth indie life_sim walking_simulator hacking heist great_soundtrack violent,2024,7625.0,17.632706374085686,Overwhelmingly Positive,34
Symphony of War: The Nephilim Saga,https://store.steampowered.com/app/1488200/Symphony_of_War_The_Nephilim_Saga?snr=1_category_4_rpg_100727,tactical_rpg rpg story_rich fantasy turn-based_strategy adventure female_protagonist strategy_rpg pixel_graphics lore-rich romance drama strategy 2d jrpg indie auto_battler singleplayer party-based_rpg tactical,2022,10413.0,70.81377245508982,Overwhelmingly Positive,174
ARK: Survival Ascended,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended?snr=1_category_4_adventure_100726,early_access survival open_world dinosaurs multiplayer adventure building action crafting base_building sandbox character_customization pve pvp singleplayer massively_multiplayer inventory_management rpg sci-fi fantasy,2023,54833.0,312.0085089141005,Mixed,2
Rooftops & Alleys: The Parkour Game,https://store.steampowered.com/app/2703850/Rooftops__Alleys_The_Parkour_Game?snr=1_category_4_sportsandracing_salebrowseall,simulation sports parkour 3d_platformer esports exploration first-person third_person immersive_sim 3d open_world character_customization singleplayer physics controller early_access indie action gaming multiplayer,2024,3498.0,17.938175046554935,Overwhelmingly Positive,149
